Id,String
HELLO,안녕
BYE,잘가
YOU DIE,너 죽음
Item1Name,검
Item2Name,방패
Item3Name,활 
Item4Name,물약 
Item1Desc,이것은 검이다.
Item2Desc,이것은 방패다.
Item3Desc,이것은 활이다.
Item4Desc,이것은 물약이다.
Character1Name,김유찬
Character2Name,나상욱
Character3Name,유민준
Character4Name,이하늘
Character5Name,윤지수
Character1Desc,용암 장어 잡아봄
Character2Desc,김경일로 변신 가능
Character3Desc,룰루 장인
Character4Desc,지각 이력 30회
Character5Desc,일곱개의 대죄 100시간
StatFormat,"공격력: {0} / 방어력: {1}"
NAME,이름
DESC,설명
TYPE,타입
VALUE,밸류
COST,코스트
WEAPON,무기
EQUIP,장비
CONSUMABLE,소모품
JOB,직업
WARRIOR,전사
MAGE,마법사
HEALER,힐러
ROGUE,도적
ARCHER,궁수
Load,불러오기
Save,저장하기
AddItem,아이템 추가
RemoveItem,아이템 삭제
AddCharacter,캐릭터 추가
RemoveCharacter,캐릭터 삭제
SortTimeAscending,날짜 (오름차순)
SortTimeDescending,날짜 (내림차순)
SortNameAscending,이름 (오름차순)
SortNameDesceding,이름 (내림차순)
SortCostAscending,가격 (오름차순)
SortCostDescending,가격 (내림차순)
SortAttackAscending,공격력 (오름차순)
SortAttackDescending,공격력 (내림차순)
SortDefenceAscending,방어력 (오름차순)
SortDefenceDescending,방어력 (내림차순)
FilterNone,없음
FilterWeapon,무기
FilterEquip,장비
FilterConsumable,소모품
FilterNonConsumable,비소모품
FilterWarrior,전사
FilterMage,마법사
FilterHealer,힐러
FilterRogue,도적
FilterArcher,궁수
